==========:==========:==========:Пользователь начал работу:==========
12/06/22 (13/15):1344328037:Алексей:Сообщение от пользователя:15 14 0 15
12/06/22 (13/15):1344328037:Алексей:Результат вычислений:(0.9333333333333333-1j)
12/06/22 (13/15):1344328037:Алексей:Сообщение от пользователя:Продолжить
12/06/22 (13/15):1344328037:Алексей:Сообщение от пользователя:Комплексные
12/06/22 (13/15):1344328037:Алексей:Сообщение от пользователя:**
12/06/22 (13/15):1344328037:Алексей:Сообщение от пользователя:0 0 0 0
12/06/22 (13/15):1344328037:Алексей:Результат вычислений:(1+0j)
12/06/22 (13/15):1344328037:Алексей:Сообщение от пользователя:Завершить
12/06/22 (13/15):1344328037:Алексей:Сообщение от пользователя:Завершить
==========:==========:==========:Пользователь завершил работу:==========
==========:==========:==========:Пользователь начал работу:==========
12/06/22 (13/20):1344328037:Алексей:Сообщение от пользователя:/start
12/06/22 (13/20):1344328037:Алексей:Сообщение от пользователя:Начнем
12/06/22 (13/20):1344328037:Алексей:Сообщение от пользователя:/stop
12/06/22 (13/20):1344328037:Алексей:Сообщение от пользователя:/back
12/06/22 (13/20):1344328037:Алексей:Сообщение от пользователя:/stop
12/06/22 (13/20):1344328037:Алексей:Сообщение от пользователя:/back
12/06/22 (13/20):1344328037:Алексей:Сообщение от пользователя:Рациональные
12/06/22 (13/20):1344328037:Алексей:Сообщение от пользователя:+
12/06/22 (13/20):1344328037:Алексей:Сообщение от пользователя:/stop
12/06/22 (13/20):1344328037:Алексей:Ошибка:Некорректное значение при вводе чисел
12/06/22 (13/20):1344328037:Алексей:Сообщение от пользователя:15 15
12/06/22 (13/20):1344328037:Алексей:Результат вычислений:30
12/06/22 (13/20):1344328037:Алексей:Сообщение от пользователя:/stop
12/06/22 (13/20):1344328037:Алексей:Сообщение от пользователя:Завершить
12/06/22 (13/20):1344328037:Алексей:Сообщение от пользователя:Завершить
==========:==========:==========:Пользователь завершил работу:==========
==========:==========:==========:Пользователь начал работу:==========
12/06/22 (13/23):1344328037:Алексей:Сообщение от пользователя:/start
12/06/22 (13/23):1344328037:Алексей:Сообщение от пользователя:Начнем
12/06/22 (13/23):1344328037:Алексей:Сообщение от пользователя:Рациональные
12/06/22 (13/23):1344328037:Алексей:Сообщение от пользователя:*
12/06/22 (13/23):1344328037:Алексей:Сообщение от пользователя:15 15
12/06/22 (13/23):1344328037:Алексей:Результат вычислений:225
12/06/22 (13/23):1344328037:Алексей:Сообщение от пользователя:Завершить
12/06/22 (13/23):1344328037:Алексей:Сообщение от пользователя:Завершить
==========:==========:==========:Пользователь завершил работу:==========
==========:==========:==========:Пользователь начал работу:==========
12/06/22 (13/27):1344328037:Алексей:Сообщение от пользователя:/start
12/06/22 (13/27):1344328037:Алексей:Сообщение от пользователя:/stop
==========:==========:==========:Пользователь завершил работу:==========
==========:==========:==========:Пользователь начал работу:==========
12/06/22 (13/27):1344328037:Алексей:Сообщение от пользователя:/start
12/06/22 (13/27):1344328037:Алексей:Сообщение от пользователя:/stop
==========:==========:==========:Пользователь завершил работу:==========
==========:==========:==========:Пользователь начал работу:==========
12/06/22 (13/27):1344328037:Алексей:Сообщение от пользователя:/start
12/06/22 (13/27):1344328037:Алексей:Сообщение от пользователя:Начнем
12/06/22 (13/27):1344328037:Алексей:Сообщение от пользователя:Комплексные
12/06/22 (13/27):1344328037:Алексей:Сообщение от пользователя:**
12/06/22 (13/27):1344328037:Алексей:Сообщение от пользователя:1 1 1 1
12/06/22 (13/27):1344328037:Алексей:Результат вычислений:(0.2739572538301211+0.5837007587586147j)
12/06/22 (13/27):1344328037:Алексей:Сообщение от пользователя:Продолжить
12/06/22 (13/27):1344328037:Алексей:Сообщение от пользователя:Комплексные
12/06/22 (13/27):1344328037:Алексей:Сообщение от пользователя:**
12/06/22 (13/27):1344328037:Алексей:Сообщение от пользователя:0 0 0 0
12/06/22 (13/27):1344328037:Алексей:Результат вычислений:(1+0j)
12/06/22 (13/27):1344328037:Алексей:Сообщение от пользователя:Продолжить
12/06/22 (13/28):1344328037:Алексей:Сообщение от пользователя:Комплексные
12/06/22 (13/28):1344328037:Алексей:Сообщение от пользователя:/
12/06/22 (13/28):1344328037:Алексей:Сообщение от пользователя:1 1 0 0
12/06/22 (13/28):1344328037:Алексей:Ошибка:Попытка деления на ноль
12/06/22 (13/28):1344328037:Алексей:Сообщение от пользователя:1 1 1 0
12/06/22 (13/28):1344328037:Алексей:Результат вычислений:(1+1j)
12/06/22 (13/28):1344328037:Алексей:Сообщение от пользователя:Завершить
12/06/22 (13/28):1344328037:Алексей:Сообщение от пользователя:Завершить
==========:==========:==========:Пользователь завершил работу:==========
